timestamp,humidity,pir,motion,mic,temperature
1361906222000,28.80,0,0,7,20.50
1361906227000,29.50,0,0,4,20.50
1361906233000,30.00,1,1,6,20.50
1361906239000,31.10,1,0,1,20.50
1361906244000,30.80,0,-1,5,20.40
1361906250000,30.40,0,0,5,20.40
1361906256000,30.10,0,0,5,20.40
1361906262000,30.00,1,1,5,20.40
1361906267000,30.00,1,0,4,20.40
1361906273000,29.90,1,0,6,20.40
1361906279000,29.80,1,0,3,20.40
1361906285000,29.80,1,0,5,20.40
1361906290000,29.70,0,-1,4,20.50
1361906296000,29.80,1,1,9,20.50
1361906302000,29.70,0,-1,6,20.50
1361906307000,29.60,0,0,3,20.50
1361906313000,29.60,0,0,5,20.50
1361906319000,29.50,0,0,5,20.50
1361906325000,29.40,0,0,5,20.50
1361906330000,29.50,0,0,2,20.50
1361906336000,29.60,1,1,6,20.40
1361906342000,29.90,0,-1,6,20.40
1361906347000,29.90,0,0,6,20.50
1361906353000,29.80,0,0,4,20.40
1361906359000,30.20,0,0,3,20.40
1361906365000,30.80,0,0,3,20.50
1361906370000,30.40,0,0,4,20.40
1361906376000,30.10,0,0,7,20.40
1361906382000,30.00,0,0,6,20.40
1361906387000,30.30,0,0,5,20.40
1361906393000,30.20,0,0,5,20.40
1361906399000,30.00,1,1,5,20.40
1361906405000,30.00,0,-1,4,20.40
1361906410000,29.80,0,0,4,20.40
1361906416000,29.90,0,0,4,20.50
1361906422000,29.90,0,0,6,20.50
1361906427000,29.80,0,0,4,20.50
1361906433000,29.90,0,0,4,20.50
1361906439000,30.00,1,1,4,20.50
1361906445000,30.30,1,0,7,20.50
1361906450000,30.70,0,-1,1,20.50
1361906456000,31.50,1,1,4,20.50
1361906462000,31.20,1,0,2,20.50
1361906468000,30.80,1,0,6,20.50
1361906473000,30.50,0,-1,6,20.50
1361906479000,30.30,1,1,7,20.50
1361906485000,30.20,0,-1,5,20.50
1361906490000,30.20,0,0,3,20.50
1361906496000,30.10,0,0,8,20.50
1361906502000,30.20,1,1,4,20.50
1361906508000,30.40,1,0,6,20.50
1361906513000,30.80,1,0,9,20.50
1361906519000,30.70,0,-1,2,20.50
1361906525000,31.40,1,1,3,20.50
1361906530000,31.60,1,0,2,20.60
1361906536000,31.70,1,0,4,20.60
1361906542000,31.70,1,0,5,20.60
1361906548000,31.30,1,0,5,20.50
1361906553000,31.60,0,-1,5,20.50
1361906559000,31.30,1,1,3,20.50
1361906565000,31.20,1,0,3,20.50
1361906570000,30.90,0,-1,1,20.50
1361906576000,30.50,1,1,7,20.50
1361906582000,30.20,1,0,3,20.60
1361906588000,30.30,1,0,2,20.60
1361906593000,30.40,1,0,4,20.60
1361906599000,30.20,0,-1,4,20.60
1361906605000,30.00,1,1,4,20.60
1361906610000,30.20,0,-1,7,20.60
1361906616000,30.20,0,0,2,20.60
1361906622000,30.10,0,0,4,20.60
1361906628000,30.00,0,0,4,20.60
1361906633000,30.00,0,0,5,20.60
1361906639000,29.90,0,0,2,20.60
1361906645000,29.80,0,0,0,20.60
1361906651000,29.80,0,0,1,20.60
1361906656000,29.70,0,0,2,20.60
1361906662000,29.70,1,1,1,20.60
1361906668000,29.70,0,-1,4,20.60
1361906673000,29.70,1,1,6,20.70
1361906679000,29.60,0,-1,2,20.70
1361906685000,29.50,1,1,7,20.70
1361906691000,29.50,0,-1,0,20.70
1361906696000,29.70,1,1,5,20.70
1361906702000,29.80,1,0,3,20.70
1361906708000,29.90,0,-1,2,20.70
1361906713000,30.00,1,1,6,20.70
1361906719000,30.00,0,-1,4,20.70
1361906725000,29.90,0,0,1,20.70
